Date,Team,Versus,Opponent,Score,Min,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,+/-
Average,,,,,32.0,6.6,15.8,41.6,0.9,3.1,29.5,3.2,4.3,75.0,1.2,5.6,6.9,5.8,0.8,0.3,2.7,3.1,17.3,-3.6
Fri12/31,LAL,vs,POR,W139-106,30,5,10,50.0,0,3,0.0,5,6,83.3,0,13,13,12,2,0,4,2,15,+29
Wed12/29,LAL,@,MEM,L99-104,40,7,16,43.8,2,4,50.0,0,0,,2,8,10,12,0,0,5,5,16,+1
Tue12/28,LAL,@,HOU,W132-123,35,10,17,58.8,2,2,100.0,2,6,33.3,4,9,13,10,2,0,7,1,24,+9
Sat12/25,LAL,vs,BKN,L115-122,37,4,20,20.0,0,3,0.0,5,6,83.3,5,7,12,11,1,0,3,5,13,-23
Thu12/23,LAL,vs,SAS,L110-138,35,12,20,60.0,1,2,50.0,5,9,55.6,0,7,7,4,1,0,5,3,30,-14
Tue12/21,LAL,vs,PHX,L90-108,37,10,20,50.0,0,2,0.0,2,4,50.0,1,9,10,5,3,0,7,3,22,-6
Sun12/19,LAL,@,CHI,L110-115,38,9,19,47.4,0,2,0.0,2,6,33.3,2,7,9,8,1,2,6,4,20,-2
Fri12/17,LAL,@,MIN,L92-110,29,4,7,57.1,0,1,0.0,6,11,54.5,0,4,4,3,0,1,1,3,14,-15
Wed12/15,LAL,@,DAL,W107-104,42,8,18,44.4,1,4,25.0,6,8,75.0,1,9,10,9,0,0,4,2,23,+8
Sun12/12,LAL,vs,ORL,W106-94,35,9,18,50.0,0,0,,1,2,50.0,2,5,7,5,2,0,5,2,19,+3
Fri12/10,LAL,@,OKC,W116-95,33,4,8,50.0,0,1,0.0,0,0,,2,7,9,7,0,1,5,1,8,+18
Thu12/9,LAL,@,MEM,L95-108,33,3,9,33.3,2,3,66.7,1,4,25.0,0,6,6,7,0,1,6,4,9,-16
Tue12/7,LAL,vs,BOS,W117-102,36,9,16,56.3,1,4,25.0,5,6,83.3,1,2,3,11,1,0,4,2,24,+11
Fri12/3,LAL,vs,LAC,L115-119,36,4,8,50.0,2,2,100.0,0,0,,1,1,2,9,1,0,2,4,10,-6
Average,,,,,35.4,7.0,14.7,47.6,0.8,2.4,33.3,2.9,4.9,58.8,1.5,6.7,8.2,8.1,1.0,0.4,4.6,2.9,17.6,-0.2
Tue11/30,LAL,@,SAC,W117-92,35,9,21,42.9,1,5,20.0,4,7,57.1,0,5,5,6,1,0,4,2,23,+12
Sun11/28,LAL,vs,DET,W110-106,37,10,16,62.5,1,3,33.3,4,8,50.0,2,4,6,9,1,0,3,2,25,+4
Fri11/26,LAL,vs,SAC,L137-141,51,10,18,55.6,2,4,50.0,7,9,77.8,4,6,10,11,2,0,3,3,29,-4
Wed11/24,LAL,@,IND,W124-116,40,5,15,33.3,1,3,33.3,9,11,81.8,1,6,7,5,0,1,4,3,20,+14
Tue11/23,LAL,@,NYK,L100-106,37,10,18,55.6,3,6,50.0,8,9,88.9,1,12,13,10,2,0,6,2,31,0
Sun11/21,LAL,@,DET,W121-116,35,10,21,47.6,1,6,16.7,5,8,62.5,1,8,9,10,2,0,3,4,26,+8
Fri11/19,LAL,@,BOS,L108-130,31,5,13,38.5,1,4,25.0,1,4,25.0,1,3,4,6,1,0,2,5,12,-12
Wed11/17,LAL,@,MIL,L102-109,36,7,16,43.8,2,5,40.0,3,4,75.0,1,3,4,15,1,0,3,3,19,+3
Mon11/15,LAL,vs,CHI,L103-121,31,8,19,42.1,0,6,0.0,9,10,90.0,0,6,6,8,1,0,4,3,25,-13
Sun11/14,LAL,vs,SAS,W114-106,34,5,11,45.5,3,5,60.0,1,2,50.0,1,10,11,7,2,0,7,3,14,+11
Fri11/12,LAL,vs,MIN,L83-107,31,7,11,63.6,2,4,50.0,4,6,66.7,0,5,5,3,0,0,5,1,20,-32
Wed11/10,LAL,vs,MIA,W120-117,43,10,22,45.5,3,7,42.9,2,2,100.0,1,11,12,14,1,2,8,5,25,+10
Mon11/8,LAL,vs,CHA,W126-123,41,5,15,33.3,0,2,0.0,7,10,70.0,0,12,12,14,3,0,7,3,17,-17
Sat11/6,LAL,@,POR,L90-105,29,1,13,7.7,1,3,33.3,5,8,62.5,2,7,9,6,2,0,6,3,8,-20
Thu11/4,LAL,vs,OKC,L104-107,35,10,23,43.5,3,6,50.0,4,4,100.0,1,5,6,5,0,0,4,2,27,+6
Tue11/2,LAL,vs,HOU,W119-117,37,10,21,47.6,0,4,0.0,7,8,87.5,5,4,9,7,1,0,3,1,27,-6
Average,,,,,36.4,7.6,17.1,44.7,1.5,4.6,32.9,5.0,6.9,72.7,1.3,6.7,8.0,8.5,1.3,0.2,4.5,2.8,21.8,-2.3
Sun10/31,LAL,vs,HOU,W95-85,35,9,22,40.9,2,4,50.0,0,1,0.0,1,7,8,9,1,0,2,4,20,+25
Fri10/29,LAL,vs,CLE,W113-101,34,8,13,61.5,1,1,100.0,2,3,66.7,1,5,6,5,0,0,4,2,19,+4
Wed10/27,LAL,@,OKC,L115-123,35,8,20,40.0,2,8,25.0,2,3,66.7,4,10,14,13,1,0,10,4,20,-12
Tue10/26,LAL,@,SAS,W125-121,40,15,27,55.6,1,4,25.0,2,4,50.0,0,10,10,8,3,0,3,5,33,+1
Sun10/24,LAL,vs,MEM,W121-118,37,5,15,33.3,1,4,25.0,2,4,50.0,1,6,7,13,4,0,9,3,13,-8
Fri10/22,LAL,vs,PHX,L105-115,35,6,15,40.0,0,3,0.0,3,8,37.5,2,9,11,9,2,1,4,5,15,+4
Tue10/19,LAL,vs,GSW,L114-121,35,4,13,30.8,0,4,0.0,0,0,,1,4,5,4,0,0,4,4,8,-23
Average,,,,,35.7,7.9,17.9,44.0,1.0,4.0,25.0,1.6,3.3,47.8,1.4,7.3,8.7,8.7,1.6,0.1,5.1,3.9,18.3,-1.3
