Date,Team,Versus,Opponent,Score,Min,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,+/-,Year
Tue11/3,OKC,vs,LAL,L98-101,34,5,12,41.7,0,3,0.0,2,3,66.7,1,5,6,7,2,0,6,3,12,-9,2010.0
Sun11/1,OKC,vs,POR,L74-83,32,8,12,66.7,0,1,0.0,7,10,70.0,2,2,4,2,2,1,9,6,23,-13,2010.0
Average,,,,,34.6,5.9,13.9,42.8,0.9,2.6,35.9,4.7,5.7,82.6,1.3,3.1,4.4,6.1,1.1,0.6,3.8,2.7,17.5,2.0,2010.0
Fri10/30,OKC,@,DET,W91-83,34,2,11,18.2,0,2,0.0,6,8,75.0,1,4,5,10,1,2,5,3,10,+2,2010.0
Wed10/28,OKC,vs,SAC,W102-89,35,7,12,58.3,0,1,0.0,0,0,,2,5,7,13,0,0,2,2,14,+23,2010.0
Average,,,,,34.6,4.5,11.5,39.1,0.0,1.5,0.0,3.0,4.0,75.0,1.5,4.5,6.0,11.5,0.5,1.0,3.5,2.5,12.0,12.5,2010.0
Wed5/25,OKC,@,DAL,L96-100,44,11,28,39.3,0,3,0.0,9,9,100.0,4,4,8,5,2,1,3,2,31,-9,2011.0
Mon5/23,OKC,vs,DAL,L105-112,42,7,22,31.8,0,3,0.0,5,8,62.5,3,5,8,8,3,0,6,5,19,-7,2011.0
Sat5/21,OKC,vs,DAL,L87-93,42,8,20,40.0,1,2,50.0,13,14,92.9,0,2,2,4,2,0,7,5,30,+5,2011.0
Thu5/19,OKC,@,DAL,W106-100,28,7,15,46.7,1,2,50.0,3,4,75.0,3,0,3,4,0,0,4,1,18,-12,2011.0
Tue5/17,OKC,@,DAL,L112-121,38,3,15,20.0,0,0,,14,18,77.8,1,2,3,3,1,0,4,2,20,-7,2011.0
Average,,,,,39.0,7.2,20.0,36.0,0.4,2.0,20.0,8.8,10.6,83.0,2.2,2.6,4.8,4.8,1.6,0.2,4.8,3.0,23.6,-6.0,2011.0
Sun5/15,OKC,vs,MEM,W105-90,35,4,12,33.3,0,0,,6,6,100.0,6,4,10,14,0,1,5,2,14,+19,2011.0
Fri5/13,OKC,@,MEM,L83-95,37,11,22,50.0,1,5,20.0,4,5,80.0,0,3,3,4,2,0,5,2,27,-19,2011.0
Wed5/11,OKC,vs,MEM,W99-72,25,4,10,40.0,1,1,100.0,2,2,100.0,0,3,3,6,1,0,3,3,11,+13,2011.0
Mon5/9,OKC,@,MEM,W133-123,51,15,33,45.5,0,2,0.0,10,11,90.9,1,4,5,5,3,2,3,5,40,+12,2011.0
Sat5/7,OKC,@,MEM,L93-101,43,7,22,31.8,1,3,33.3,8,8,100.0,3,3,6,12,2,0,7,6,23,0,2011.0
Tue5/3,OKC,vs,MEM,W111-102,33,9,20,45.0,1,2,50.0,5,6,83.3,0,2,2,6,3,0,4,1,24,0,2011.0
Sun5/1,OKC,vs,MEM,L101-114,38,9,23,39.1,1,2,50.0,10,12,83.3,3,5,8,6,1,0,7,5,29,-6,2011.0
Average,,,,,37.5,8.4,20.3,41.5,0.7,2.1,33.3,6.4,7.1,90.0,1.9,3.4,5.3,7.6,1.7,0.4,4.9,3.4,24.0,2.7,2011.0
Wed4/27,OKC,vs,DEN,W100-97,36,3,15,20.0,1,3,33.3,7,10,70.0,2,3,5,4,1,0,3,3,14,+4,2011.0
Mon4/25,OKC,@,DEN,L101-104,39,12,30,40.0,0,7,0.0,6,7,85.7,5,1,6,5,1,1,3,5,30,+4,2011.0
Sat4/23,OKC,@,DEN,W97-94,36,6,15,40.0,0,3,0.0,11,13,84.6,2,7,9,8,0,0,2,4,23,+14,2011.0
Wed4/20,OKC,vs,DEN,W106-89,33,7,18,38.9,3,6,50.0,4,4,100.0,1,3,4,7,1,1,7,3,21,+21,2011.0
Sun4/17,OKC,vs,DEN,W107-103,37,12,23,52.2,3,4,75.0,4,5,80.0,2,4,6,7,1,0,5,2,31,-5,2011.0
Average,,,,,36.2,8.0,20.2,39.6,1.4,4.6,30.4,6.4,7.8,82.1,2.4,3.6,6.0,6.2,0.8,0.4,4.0,3.4,23.8,7.6,2011.0
Wed4/13,OKC,vs,MIL,L106-110,21,7,9,77.8,0,1,0.0,6,6,100.0,1,2,3,5,3,0,4,1,20,+19,2011.0
Mon4/11,OKC,@,SAC,W120-112,37,12,22,54.5,0,2,0.0,6,7,85.7,1,5,6,9,2,1,5,1,30,+7,2011.0
Sun4/10,OKC,@,LAL,W120-106,32,8,20,40.0,3,5,60.0,7,7,100.0,1,5,6,7,2,0,3,2,26,+8,2011.0
Fri4/8,OKC,vs,DEN,W104-89,32,7,15,46.7,0,1,0.0,3,4,75.0,1,2,3,8,6,0,2,3,17,+4,2011.0
Wed4/6,OKC,vs,LAC,W112-108,38,10,22,45.5,0,1,0.0,6,6,100.0,2,5,7,7,3,0,2,1,26,+1,2011.0
Tue4/5,OKC,@,DEN,W101-94,31,5,17,29.4,0,1,0.0,8,10,80.0,0,1,1,6,1,1,3,3,18,-4,2011.0
Sat4/2,OKC,@,LAC,L92-98,32,1,12,8.3,0,1,0.0,7,10,70.0,1,3,4,8,3,0,4,6,9,-6,2011.0
Fri4/1,OKC,@,POR,L91-98,35,5,15,33.3,0,2,0.0,6,8,75.0,4,5,9,6,0,0,1,5,16,+1,2011.0
Average,,,,,32.3,6.9,16.5,41.7,0.4,1.8,21.4,6.1,7.3,84.5,1.4,3.5,4.9,7.0,2.5,0.3,3.0,2.8,20.3,3.8,2011.0
Wed3/30,OKC,@,PHX,W116-98,32,6,9,66.7,0,1,0.0,4,5,80.0,1,2,3,8,2,1,5,2,16,+14,2011.0
Tue3/29,OKC,vs,GSW,W115-114,37,4,15,26.7,0,0,,7,8,87.5,1,7,8,9,1,0,6,5,15,-7,2011.0
Sun3/27,OKC,vs,POR,W99-90,34,9,19,47.4,4,5,80.0,6,7,85.7,2,5,7,7,2,0,5,5,28,+9,2011.0
Fri3/25,OKC,vs,MIN,W111-103,33,7,15,46.7,0,1,0.0,5,6,83.3,1,1,2,8,5,0,4,3,19,+4,2011.0
Wed3/23,OKC,vs,UTA,W106-94,36,11,17,64.7,1,2,50.0,8,9,88.9,0,4,4,5,2,1,3,2,31,+13,2011.0
Sun3/20,OKC,vs,TOR,L93-95,36,7,19,36.8,0,2,0.0,8,8,100.0,1,5,6,4,0,0,4,0,22,-10,2011.0
Fri3/18,OKC,vs,CHA,W99-82,33,6,16,37.5,0,0,,6,6,100.0,0,0,0,7,3,0,3,1,18,+12,2011.0
Wed3/16,OKC,@,MIA,W96-85,33,5,16,31.3,1,1,100.0,7,8,87.5,0,1,1,5,2,0,6,3,18,+11,2011.0
Mon3/14,OKC,@,WAS,W116-89,26,7,15,46.7,0,1,0.0,4,4,100.0,1,3,4,12,4,0,5,1,18,+20,2011.0
Sun3/13,OKC,@,CLE,W95-75,24,10,16,62.5,0,0,,0,0,,0,1,1,5,3,1,2,0,20,+2,2011.0
Fri3/11,OKC,vs,DET,W104-94,33,5,14,35.7,1,2,50.0,2,4,50.0,1,3,4,11,1,0,3,2,13,+11,2011.0
Wed3/9,OKC,@,PHI,W110-105,40,12,23,52.2,1,1,100.0,2,5,40.0,3,2,5,12,1,0,7,2,27,+3,2011.0
Mon3/7,OKC,@,MEM,L101-107,38,11,21,52.4,1,2,50.0,4,5,80.0,3,1,4,7,0,0,5,4,27,-13,2011.0
Sun3/6,OKC,vs,PHX,W122-118,41,9,18,50.0,1,2,50.0,13,18,72.2,1,1,2,11,2,0,5,5,32,+8,2011.0
Fri3/4,OKC,@,ATL,W111-104,36,11,23,47.8,1,3,33.3,5,6,83.3,3,0,3,9,4,0,3,1,28,+11,2011.0
Wed3/2,OKC,vs,IND,W113-89,28,7,11,63.6,0,0,,7,9,77.8,1,2,3,9,3,0,5,1,21,+17,2011.0
Average,,,,,33.7,7.9,16.7,47.6,0.7,1.4,47.8,5.5,6.8,81.5,1.2,2.4,3.6,8.1,2.2,0.2,4.4,2.3,22.1,6.6,2011.0
Sun2/27,OKC,vs,LAL,L87-90,34,8,16,50.0,1,1,100.0,5,6,83.3,2,4,6,6,0,0,7,4,22,-4,2011.0
Fri2/25,OKC,@,ORL,L88-111,27,7,19,36.8,0,0,,4,5,80.0,3,0,3,3,0,0,1,2,18,-26,2011.0
Wed2/23,OKC,@,SAS,L105-109,36,9,24,37.5,0,2,0.0,7,8,87.5,0,4,4,7,1,0,3,3,25,-12,2011.0
Tue2/22,OKC,vs,LAC,W111-88,28,3,11,27.3,0,0,,7,8,87.5,0,2,2,7,1,2,2,0,13,+10,2011.0
Tue2/15,OKC,vs,SAC,W126-96,25,4,8,50.0,0,0,,2,2,100.0,1,1,2,11,1,0,2,1,10,+15,2011.0
Sun2/13,OKC,@,GSW,L94-100,31,6,14,42.9,2,4,50.0,7,9,77.8,0,0,0,5,1,0,6,5,21,-5,2011.0
Sat2/12,OKC,@,SAC,W99-97,33,8,16,50.0,0,1,0.0,6,7,85.7,3,2,5,7,2,0,3,1,22,-4,2011.0
Tue2/8,OKC,vs,MEM,L101-105,35,7,15,46.7,0,3,0.0,7,11,63.6,2,3,5,11,0,0,8,4,21,-11,2011.0
Sat2/5,OKC,@,UTA,W121-105,35,10,15,66.7,4,4,100.0,9,10,90.0,0,3,3,10,1,1,2,3,33,+11,2011.0
Fri2/4,OKC,@,PHX,W111-107,35,7,17,41.2,1,2,50.0,4,4,100.0,2,5,7,11,2,0,3,2,19,0,2011.0
Wed2/2,OKC,vs,NOH,W104-93,27,3,7,42.9,1,1,100.0,3,4,75.0,1,2,3,8,1,0,5,4,10,+1,2011.0
Average,,,,,31.3,6.5,14.7,44.4,0.8,1.6,50.0,5.5,6.7,82.4,1.3,2.4,3.6,7.8,0.9,0.3,3.8,2.6,19.5,-2.3,2011.0
Sun1/30,OKC,vs,MIA,L103-108,37,7,22,31.8,0,2,0.0,7,8,87.5,3,4,7,10,2,1,2,3,21,-3,2011.0
Fri1/28,OKC,vs,WAS,W124-117,45,12,24,50.0,0,1,0.0,11,16,68.8,3,10,13,13,0,2,4,2,35,0,2011.0
Wed1/26,OKC,@,MIN,W118-117,38,7,19,36.8,0,0,,2,2,100.0,2,1,3,8,4,0,8,5,16,0,2011.0
Mon1/24,OKC,@,NOH,L89-91,35,6,13,46.2,0,0,,6,7,85.7,1,2,3,10,1,0,4,3,18,-2,2011.0
Sat1/22,OKC,vs,NYK,W101-98,36,7,15,46.7,0,0,,14,17,82.4,4,1,5,5,2,1,5,3,28,+1,2011.0
Wed1/19,OKC,@,DEN,L107-112,36,8,16,50.0,0,0,,12,14,85.7,1,2,3,10,2,0,4,2,28,+1,2011.0
Mon1/17,OKC,@,LAL,L94-101,42,12,23,52.2,0,2,0.0,8,11,72.7,1,4,5,12,2,1,4,1,32,-9,2011.0
Thu1/13,OKC,vs,ORL,W125-124,42,11,22,50.0,0,1,0.0,10,13,76.9,3,7,10,13,1,2,1,1,32,+3,2011.0
Wed1/12,OKC,@,HOU,W118-112,37,7,19,36.8,0,0,,9,12,75.0,2,6,8,13,2,0,3,2,23,+15,2011.0
Sat1/8,OKC,vs,MEM,W109-100,41,6,16,37.5,0,1,0.0,10,10,100.0,2,3,5,11,1,3,3,2,22,+11,2011.0
Thu1/6,OKC,@,DAL,W99-95,36,5,16,31.3,0,1,0.0,5,6,83.3,3,2,5,9,1,0,4,2,15,+2,2011.0
Tue1/4,OKC,@,MEM,L105-110,38,10,20,50.0,1,2,50.0,7,9,77.8,0,4,4,7,0,1,1,5,28,-11,2011.0
Sat1/1,OKC,@,SAS,L74-101,26,3,11,27.3,0,0,,2,2,100.0,0,4,4,2,2,0,6,1,8,-10,2011.0
Average,,,,,37.5,7.8,18.2,42.8,0.1,0.8,10.0,7.9,9.8,81.1,1.9,3.8,5.8,9.5,1.5,0.8,3.8,2.5,23.5,-0.2,2011.0
Fri12/31,OKC,vs,ATL,W103-94,37,9,22,40.9,0,1,0.0,5,5,100.0,3,7,10,10,2,0,1,2,23,+8,2011.0
Wed12/29,OKC,vs,NJN,W114-93,29,6,13,46.2,0,0,,5,5,100.0,0,4,4,7,3,0,3,2,17,+5,2011.0
Mon12/27,OKC,vs,DAL,L93-103,33,5,15,33.3,0,1,0.0,5,6,83.3,0,3,3,7,3,0,2,0,15,-17,2011.0
Sat12/25,OKC,vs,DEN,W114-106,35,7,19,36.8,0,0,,5,7,71.4,1,1,2,4,3,0,0,3,19,+4,2011.0
Wed12/22,OKC,@,NYK,L98-112,31,10,24,41.7,1,1,100.0,2,3,66.7,2,3,5,5,1,1,4,1,23,-21,2011.0
Tue12/21,OKC,@,CHA,W99-81,32,5,13,38.5,0,1,0.0,5,5,100.0,0,3,3,4,3,0,7,2,15,+7,2011.0
Sun12/19,OKC,vs,PHX,L110-113,36,5,17,29.4,0,1,0.0,9,11,81.8,1,1,2,9,1,1,3,6,19,+1,2011.0
Fri12/17,OKC,vs,SAC,W102-87,32,9,17,52.9,0,1,0.0,3,4,75.0,1,3,4,6,1,0,4,3,21,+3,2011.0
Wed12/15,OKC,vs,HOU,W117-105,32,6,11,54.5,0,1,0.0,5,5,100.0,0,3,3,5,0,0,2,4,17,+8,2011.0
Sun12/12,OKC,vs,CLE,W106-77,27,5,10,50.0,1,1,100.0,3,3,100.0,1,2,3,11,2,0,3,2,14,+18,2011.0
Fri12/10,OKC,@,NOH,W97-92,38,10,18,55.6,2,4,50.0,7,8,87.5,2,1,3,10,1,0,7,3,29,+6,2011.0
Wed12/8,OKC,@,MIN,W111-103,33,10,20,50.0,0,1,0.0,5,6,83.3,1,3,4,8,1,0,3,3,25,-1,2011.0
Mon12/6,OKC,@,CHI,L90-99,35,7,18,38.9,0,1,0.0,1,1,100.0,4,1,5,7,3,0,6,3,15,-9,2011.0
Sun12/5,OKC,vs,GSW,W114-109,38,4,16,25.0,0,1,0.0,11,13,84.6,3,4,7,13,2,1,5,3,19,+8,2011.0
Fri12/3,OKC,@,TOR,L99-111,32,9,19,47.4,0,1,0.0,2,2,100.0,1,2,3,7,2,0,5,1,20,-14,2011.0
Wed12/1,OKC,@,NJN,W123-120,48,14,32,43.8,0,1,0.0,10,14,71.4,5,10,15,9,3,0,5,4,38,0,2011.0
Average,,,,,34.2,7.6,17.8,42.6,0.3,1.1,23.5,5.2,6.1,84.7,1.6,3.2,4.8,7.6,1.9,0.2,3.8,2.6,20.6,0.4,2011.0
Mon11/29,OKC,vs,NOH,W95-89,37,9,19,47.4,2,2,100.0,5,6,83.3,3,2,5,11,5,0,8,2,25,+2,2011.0
Sun11/28,OKC,@,HOU,L98-99,36,10,19,52.6,0,0,,3,6,50.0,1,3,4,10,2,0,0,2,23,0,2011.0
Fri11/26,OKC,@,IND,W110-106,42,13,24,54.2,0,1,0.0,17,18,94.4,2,6,8,8,3,1,3,0,43,+9,2011.0
Wed11/24,OKC,vs,DAL,L103-111,36,4,13,30.8,0,1,0.0,5,6,83.3,1,2,3,10,2,0,3,2,13,-10,2011.0
Mon11/22,OKC,vs,MIN,W117-107,36,7,14,50.0,0,0,,6,9,66.7,0,4,4,14,2,0,6,2,20,+24,2011.0
Sat11/20,OKC,@,MIL,W82-81,34,5,18,27.8,0,0,,8,8,100.0,0,3,3,6,0,0,3,1,18,-8,2011.0
Fri11/19,OKC,@,BOS,W89-84,37,9,21,42.9,2,3,66.7,11,13,84.6,1,3,4,6,2,0,7,4,31,-2,2011.0
Wed11/17,OKC,vs,HOU,W116-99,35,6,15,40.0,0,0,,9,9,100.0,2,4,6,12,2,0,3,2,21,+7,2011.0
Mon11/15,OKC,@,UTA,W115-108,30,8,13,61.5,0,1,0.0,6,6,100.0,0,1,1,7,1,0,5,3,22,-6,2011.0
Sun11/14,OKC,vs,SAS,L104-117,37,5,17,29.4,0,0,,9,10,90.0,1,2,3,8,2,1,2,3,19,-15,2011.0
Fri11/12,OKC,vs,POR,W110-108,44,12,22,54.5,1,1,100.0,11,12,91.7,1,6,7,7,3,2,2,2,36,+14,2011.0
Wed11/10,OKC,vs,PHI,W109-103,43,11,19,57.9,0,0,,9,11,81.8,1,4,5,12,1,0,7,4,31,+1,2011.0
Sun11/7,OKC,vs,BOS,L83-92,43,6,16,37.5,0,2,0.0,4,5,80.0,2,2,4,10,4,2,8,4,16,0,2011.0
Thu11/4,OKC,@,POR,W107-106,44,9,22,40.9,0,5,0.0,10,10,100.0,6,5,11,5,0,0,4,4,28,+4,2011.0
Wed11/3,OKC,@,LAC,L92-107,34,5,16,31.3,1,2,50.0,5,6,83.3,1,3,4,6,2,0,0,2,16,-10,2011.0
Average,,,,,37.8,7.9,17.9,44.4,0.4,1.2,33.3,7.9,9.0,87.4,1.5,3.3,4.8,8.8,2.1,0.4,4.1,2.5,24.1,0.7,2011.0
Sun10/31,OKC,vs,UTA,L99-120,30,7,13,53.8,0,1,0.0,8,8,100.0,1,3,4,5,4,1,3,3,22,-17,2011.0
Fri10/29,OKC,@,DET,W105-104,39,4,13,30.8,0,1,0.0,9,10,90.0,1,5,6,11,2,0,3,3,17,+7,2011.0
Wed10/27,OKC,vs,CHI,W106-95,35,8,15,53.3,0,1,0.0,12,13,92.3,3,7,10,6,2,1,3,2,28,+3,2011.0
Average,,,,,34.5,6.3,13.7,46.3,0.0,1.0,0.0,9.7,10.3,93.5,1.7,5.0,6.7,7.3,2.7,0.7,3.0,2.7,22.3,-2.3,2011.0
Thu6/21,OKC,@,MIA,L106-121,43,4,20,20.0,0,5,0.0,11,13,84.6,0,4,4,6,2,0,2,3,19,-23,2012.0
Tue6/19,OKC,@,MIA,L98-104,45,20,32,62.5,0,3,0.0,3,3,100.0,1,6,7,5,1,0,3,3,43,0,2012.0
Sun6/17,OKC,@,MIA,L85-91,39,8,18,44.4,1,4,25.0,2,2,100.0,0,5,5,4,0,2,2,2,19,+3,2012.0
Thu6/14,OKC,vs,MIA,L96-100,42,10,26,38.5,2,6,33.3,5,7,71.4,2,6,8,7,1,0,2,3,27,-11,2012.0
Tue6/12,OKC,vs,MIA,W105-94,42,10,24,41.7,0,4,0.0,7,9,77.8,1,7,8,11,1,0,2,1,27,+14,2012.0
Average,,,,,42.3,10.4,24.0,43.3,0.6,4.4,13.6,5.6,6.8,82.4,0.8,5.6,6.4,6.6,1.0,0.4,2.2,2.4,27.0,-3.4,2012.0
Wed6/6,OKC,vs,SAS,W107-99,41,9,17,52.9,1,1,100.0,6,7,85.7,2,6,8,5,0,1,5,4,25,+8,2012.0
Mon6/4,OKC,@,SAS,W108-103,45,9,24,37.5,0,4,0.0,5,5,100.0,0,4,4,12,4,1,6,4,23,+5,2012.0
Sat6/2,OKC,vs,SAS,W109-103,34,2,10,20.0,2,3,66.7,1,4,25.0,0,4,4,5,1,0,3,2,7,-5,2012.0
Thu5/31,OKC,vs,SAS,W102-82,34,5,15,33.3,0,2,0.0,0,0,,3,4,7,9,4,2,2,1,10,+29,2012.0
Tue5/29,OKC,@,SAS,L111-120,41,10,24,41.7,3,7,42.9,4,5,80.0,2,5,7,8,0,0,0,3,27,-3,2012.0
Sun5/27,OKC,@,SAS,L98-101,37,7,21,33.3,2,3,66.7,1,2,50.0,1,4,5,5,0,2,4,4,17,0,2012.0
Average,,,,,38.5,7.0,18.5,37.8,1.3,3.3,40.0,2.8,3.8,73.9,1.3,4.5,5.8,7.3,1.5,1.0,3.3,3.0,18.2,5.7,2012.0
Mon5/21,OKC,vs,LAL,W106-90,39,12,25,48.0,0,1,0.0,4,6,66.7,1,2,3,4,2,0,1,2,28,+25,2012.0
Sat5/19,OKC,@,LAL,W103-100,43,15,26,57.7,1,2,50.0,6,7,85.7,1,1,2,5,1,0,1,2,37,+9,2012.0
Fri5/18,OKC,@,LAL,L96-99,35,7,18,38.9,0,3,0.0,7,8,87.5,3,6,9,1,2,0,1,3,21,0,2012.0
Wed5/16,OKC,vs,LAL,W77-75,34,5,17,29.4,1,3,33.3,4,6,66.7,0,6,6,4,1,0,0,1,15,+8,2012.0
Mon5/14,OKC,vs,LAL,W119-90,27,10,15,66.7,1,1,100.0,6,6,100.0,1,6,7,9,2,0,1,2,27,+27,2012.0
Average,,,,,35.8,9.8,20.2,48.5,0.6,2.0,30.0,5.4,6.6,81.8,1.2,4.2,5.4,4.6,1.6,0.0,0.8,2.0,25.6,13.8,2012.0
Sat5/5,OKC,@,DAL,W103-97,37,3,12,25.0,0,4,0.0,6,8,75.0,2,3,5,6,3,0,0,2,12,-5,2012.0
Thu5/3,OKC,@,DAL,W95-79,32,8,19,42.1,2,5,40.0,2,4,50.0,0,4,4,4,3,0,3,3,20,+15,2012.0
Mon4/30,OKC,vs,DAL,W102-99,39,10,21,47.6,1,2,50.0,8,8,100.0,0,2,2,2,0,0,2,2,29,-3,2012.0
Sat4/28,OKC,vs,DAL,W99-98,38,13,23,56.5,1,2,50.0,1,1,100.0,2,2,4,5,3,0,5,2,28,+1,2012.0
Average,,,,,36.4,8.5,18.8,45.3,1.0,3.3,30.8,4.3,5.3,81.0,1.0,2.8,3.8,4.3,2.3,0.0,2.5,2.3,22.3,2.0,2012.0
Wed4/25,OKC,vs,DEN,L101-106,35,10,20,50.0,1,3,33.3,9,10,90.0,1,5,6,9,3,4,2,2,30,0,2012.0
Tue4/24,OKC,vs,SAC,W118-110,27,4,13,30.8,0,2,0.0,5,6,83.3,5,3,8,6,2,2,2,2,13,+5,2012.0
Sun4/22,OKC,@,LAL,L106-114,47,3,22,13.6,0,4,0.0,8,8,100.0,1,3,4,10,1,0,3,5,14,-10,2012.0
Fri4/20,OKC,@,SAC,W103-92,32,8,15,53.3,0,1,0.0,2,4,50.0,1,2,3,3,2,1,5,2,18,+8,2012.0
Wed4/18,OKC,@,PHX,W109-97,31,6,16,37.5,0,0,,3,4,75.0,2,4,6,5,2,0,3,4,15,+3,2012.0
Mon4/16,OKC,@,LAC,L77-92,32,4,16,25.0,1,5,20.0,0,0,,2,1,3,3,1,0,5,2,9,-10,2012.0
Sat4/14,OKC,@,MIN,W115-110,38,12,25,48.0,2,4,50.0,9,10,90.0,0,1,1,8,2,0,3,4,35,+17,2012.0
Fri4/13,OKC,vs,SAC,W115-89,27,10,18,55.6,0,0,,2,5,40.0,0,6,6,5,1,0,2,1,22,+20,2012.0
Wed4/11,OKC,vs,LAC,L98-100,37,3,14,21.4,1,5,20.0,13,15,86.7,0,4,4,7,0,0,4,2,20,+1,2012.0
Mon4/9,OKC,@,MIL,W109-89,26,11,21,52.4,3,5,60.0,1,1,100.0,3,4,7,3,1,0,4,2,26,+17,2012.0
Sun4/8,OKC,vs,TOR,W91-75,27,5,12,41.7,0,1,0.0,5,7,71.4,1,5,6,6,1,0,4,3,15,0,2012.0
Fri4/6,OKC,@,IND,L98-103,41,7,23,30.4,2,5,40.0,5,8,62.5,3,8,11,9,1,0,3,3,21,0,2012.0
Wed4/4,OKC,@,MIA,L93-98,40,9,26,34.6,1,4,25.0,9,9,100.0,3,1,4,2,3,0,4,4,28,-9,2012.0
Mon4/2,OKC,vs,MEM,L88-94,37,5,16,31.3,0,3,0.0,9,10,90.0,3,1,4,3,3,0,5,2,19,-2,2012.0
Sun4/1,OKC,vs,CHI,W92-78,30,10,18,55.6,1,2,50.0,6,6,100.0,0,3,3,5,4,0,0,0,27,+28,2012.0
Average,,,,,33.8,7.1,18.3,38.9,0.8,2.9,27.3,5.7,6.9,83.5,1.7,3.4,5.1,5.6,1.8,0.5,3.3,2.5,20.8,4.5,2012.0
Thu3/29,OKC,@,LAL,W102-93,42,13,27,48.1,1,4,25.0,9,10,90.0,1,0,1,5,2,0,1,2,36,+5,2012.0
Tue3/27,OKC,@,POR,W109-95,35,16,26,61.5,0,3,0.0,0,3,0.0,1,2,3,8,3,0,2,2,32,+14,2012.0
Sun3/25,OKC,vs,MIA,W103-87,33,4,16,25.0,1,3,33.3,4,4,100.0,2,1,3,6,3,1,4,3,13,+12,2012.0
Fri3/23,OKC,vs,MIN,W149-140,50,17,28,60.7,2,4,50.0,9,9,100.0,2,2,4,6,2,0,4,1,45,-5,2012.0
Wed3/21,OKC,vs,LAC,W114-91,35,8,20,40.0,1,4,25.0,2,2,100.0,1,2,3,4,0,0,4,2,19,+25,2012.0
Tue3/20,OKC,@,UTA,L90-97,35,8,11,72.7,3,4,75.0,4,4,100.0,1,3,4,3,0,0,3,2,23,-6,2012.0
Sun3/18,OKC,vs,POR,W111-95,35,12,21,57.1,2,3,66.7,2,6,33.3,1,2,3,5,0,1,0,0,28,+18,2012.0
Fri3/16,OKC,vs,SAS,L105-114,45,13,29,44.8,1,5,20.0,9,10,90.0,2,1,3,6,3,0,2,4,36,-2,2012.0
Thu3/15,OKC,@,DEN,W103-90,35,7,17,41.2,2,3,66.7,7,8,87.5,1,5,6,5,2,0,7,4,23,+2,2012.0
Tue3/13,OKC,vs,HOU,L103-104,38,7,18,38.9,0,3,0.0,5,6,83.3,1,3,4,4,0,0,2,1,19,-2,2012.0
Sat3/10,OKC,vs,CHA,W122-95,27,10,14,71.4,1,2,50.0,2,2,100.0,0,1,1,4,0,0,1,2,23,+7,2012.0
Fri3/9,OKC,vs,CLE,L90-96,33,8,17,47.1,1,2,50.0,2,2,100.0,0,2,2,4,1,0,3,1,19,-5,2012.0
Wed3/7,OKC,vs,PHX,W115-104,41,11,21,52.4,3,6,50.0,6,8,75.0,1,2,3,10,4,0,3,2,31,+7,2012.0
Mon3/5,OKC,vs,DAL,W95-91,36,6,20,30.0,2,6,33.3,10,12,83.3,2,4,6,3,0,0,1,0,24,+12,2012.0
Sat3/3,OKC,@,ATL,L90-97,38,10,21,47.6,3,8,37.5,2,2,100.0,0,0,0,4,0,1,2,2,25,+2,2012.0
Thu3/1,OKC,@,ORL,W105-102,39,11,21,52.4,0,0,,7,10,70.0,1,1,2,10,1,0,2,1,29,+10,2012.0
Average,,,,,37.1,10.1,20.4,49.2,1.4,3.8,38.3,5.0,6.1,81.6,1.1,1.9,3.0,5.4,1.3,0.2,2.6,1.8,26.6,5.9,2012.0
Wed2/29,OKC,@,PHI,W92-88,36,7,20,35.0,0,4,0.0,8,8,100.0,7,6,13,4,1,0,7,0,22,+3,2012.0
Thu2/23,OKC,vs,LAL,W100-85,38,6,17,35.3,2,5,40.0,5,7,71.4,0,5,5,6,1,0,3,2,19,+13,2012.0
Wed2/22,OKC,vs,BOS,W119-104,41,11,24,45.8,1,2,50.0,8,9,88.9,0,5,5,6,1,0,2,0,31,+11,2012.0
Mon2/20,OKC,vs,NOH,W101-93,34,10,20,50.0,2,3,66.7,9,10,90.0,1,1,2,4,2,0,5,3,31,+8,2012.0
Sun2/19,OKC,vs,DEN,W124-118,44,16,29,55.2,3,6,50.0,5,5,100.0,1,3,4,9,0,1,2,2,40,+22,2012.0
Fri2/17,OKC,vs,GSW,W110-87,29,7,12,58.3,0,3,0.0,4,4,100.0,1,2,3,3,3,0,3,2,18,+22,2012.0
Wed2/15,OKC,@,HOU,L95-96,38,11,25,44.0,1,4,25.0,3,4,75.0,3,5,8,4,0,0,6,3,26,-5,2012.0
Tue2/14,OKC,vs,UTA,W111-85,23,6,11,54.5,0,1,0.0,4,7,57.1,2,3,5,2,0,0,4,4,16,+13,2012.0
Fri2/10,OKC,@,UTA,W101-87,34,10,20,50.0,1,4,25.0,7,8,87.5,1,5,6,3,5,0,4,1,28,+17,2012.0
Thu2/9,OKC,@,SAC,L101-106,38,15,26,57.7,1,2,50.0,2,3,66.7,4,2,6,3,1,0,7,5,33,-6,2012.0
Tue2/7,OKC,@,GSW,W119-116,43,12,21,57.1,1,4,25.0,6,6,100.0,1,0,1,7,2,1,9,4,31,-7,2012.0
