Date,Team,Versus,Opponent,Score,Min,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,+/-,Year
Fri1/23,OKC,@,LAC,L104-107,37,4,13,30.8,1,2,50.0,2,2,100.0,1,2,3,2,1,0,3,2,11,-11,2009.0
Wed1/21,OKC,@,GSW,W122-121,39,11,19,57.9,3,4,75.0,5,5,100.0,2,2,4,7,1,0,4,2,30,0,2009.0
Sun1/18,OKC,vs,MIA,L94-104,37,4,12,33.3,0,1,0.0,6,6,100.0,2,6,8,3,1,1,4,2,14,-8,2009.0
Fri1/16,OKC,vs,DET,W89-79,27,2,10,20.0,0,1,0.0,1,2,50.0,2,0,2,6,0,0,2,2,5,-2,2009.0
Wed1/14,OKC,vs,UTA,W114-93,31,8,14,57.1,0,0,,6,8,75.0,1,1,2,7,3,0,1,4,22,+21,2009.0
Mon1/12,OKC,@,NJN,L99-103,37,7,19,36.8,0,2,0.0,5,5,100.0,1,4,5,4,2,0,2,4,19,-1,2009.0
Sat1/10,OKC,@,CHI,W109-98,43,5,20,25.0,0,0,,4,5,80.0,7,5,12,4,2,0,3,0,14,+12,2009.0
Fri1/9,OKC,vs,HOU,L96-98,38,7,13,53.8,1,2,50.0,0,1,0.0,0,6,6,6,2,0,3,2,15,-11,2009.0
Wed1/7,OKC,@,MIN,L87-129,30,5,10,50.0,0,1,0.0,6,8,75.0,0,1,1,12,0,0,2,1,16,-25,2009.0
Tue1/6,OKC,vs,NYK,W107-99,42,6,13,46.2,1,3,33.3,9,11,81.8,1,5,6,9,1,1,4,4,22,+11,2009.0
Fri1/2,OKC,vs,DEN,L120-122,29,5,7,71.4,0,1,0.0,4,7,57.1,2,0,2,5,0,0,1,2,14,-16,2009.0
Average,,,,,34.7,5.8,13.2,43.8,0.5,1.6,31.8,4.4,5.4,82.7,1.9,3.1,4.9,5.5,1.1,0.1,2.7,2.2,16.5,-0.9,2009.0
Wed12/31,OKC,vs,GSW,W107-100,31,5,11,45.5,1,3,33.3,0,0,,2,4,6,2,5,0,3,2,11,+2,2009.0
Mon12/29,OKC,vs,PHX,L102-110,37,12,16,75.0,3,4,75.0,4,7,57.1,0,3,3,5,0,0,6,2,31,-6,2009.0
Sat12/27,OKC,@,WAS,L95-104,31,3,10,30.0,0,1,0.0,4,4,100.0,4,1,5,5,1,1,5,0,10,-3,2009.0
Fri12/26,OKC,@,DET,L88-90,33,6,13,46.2,0,0,,2,4,50.0,2,3,5,4,0,0,5,1,14,+6,2009.0
Tue12/23,OKC,@,ATL,L88-99,38,5,14,35.7,0,0,,1,2,50.0,2,1,3,6,1,0,3,4,11,-15,2009.0
Sun12/21,OKC,vs,CLE,L91-102,40,7,16,43.8,2,3,66.7,8,9,88.9,2,4,6,11,0,0,5,2,24,+3,2009.0
Fri12/19,OKC,vs,TOR,W91-83,31,7,12,58.3,0,1,0.0,5,7,71.4,0,4,4,8,1,0,5,0,19,+17,2009.0
Tue12/16,OKC,vs,LAC,L88-98,33,4,11,36.4,0,0,,3,4,75.0,5,2,7,2,2,0,4,1,11,-7,2009.0
Sun12/14,OKC,@,SAS,L104-109,19,1,3,33.3,0,1,0.0,0,0,,0,0,0,2,1,0,2,4,2,-8,2009.0
Sat12/13,OKC,@,DAL,L99-103,35,7,14,50.0,0,0,,5,5,100.0,6,2,8,6,0,0,3,1,19,+3,2009.0
Wed12/10,OKC,vs,MEM,L102-108,33,5,10,50.0,1,2,50.0,4,4,100.0,0,3,3,6,2,0,0,4,15,-14,2009.0
Mon12/8,OKC,vs,GSW,L102-112,34,3,13,23.1,0,2,0.0,0,0,,5,3,8,7,2,0,6,3,6,-2,2009.0
Sat12/6,OKC,@,MIA,L99-105,32,10,18,55.6,0,1,0.0,10,12,83.3,3,4,7,2,2,0,3,3,30,-13,2009.0
Fri12/5,OKC,@,ORL,L89-98,34,8,14,57.1,1,2,50.0,2,4,50.0,4,5,9,5,2,0,5,3,19,+2,2009.0
Wed12/3,OKC,@,CHA,L97-103,36,2,9,22.2,0,0,,6,8,75.0,1,1,2,5,1,0,5,3,10,-11,2009.0
Average,,,,,33.1,5.7,12.3,46.2,0.5,1.3,40.0,3.6,4.7,77.1,2.4,2.7,5.1,5.1,1.3,0.1,4.0,2.2,15.5,-3.1,2009.0
Sat11/29,OKC,@,MEM,W111-103,38,5,11,45.5,0,0,,2,3,66.7,5,0,5,4,2,0,2,1,12,+13,2009.0
Fri11/28,OKC,vs,MIN,L103-105,34,6,10,60.0,0,1,0.0,3,4,75.0,1,2,3,8,1,1,3,3,15,+6,2009.0
Wed11/26,OKC,@,CLE,L82-117,29,4,14,28.6,0,0,,5,8,62.5,2,2,4,5,5,0,1,2,13,-16,2009.0
Tue11/25,OKC,vs,PHX,L98-99,31,6,11,54.5,0,0,,3,4,75.0,3,2,5,5,3,0,1,3,15,+3,2009.0
Sat11/22,OKC,@,NOH,L97-109,30,3,10,30.0,1,3,33.3,2,2,100.0,0,1,1,11,3,0,2,3,9,0,2009.0
