Opponent,Min,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,+/-,Year,Team score,Opponent score,date,Season,Lose,Win,Friday,Monday,Saturday,Sunday,Thursday,Tuesday,Wednesday,HOU,LAC,LAL,OKC,WAS,Playoff,Regular
MEM,33.0,5.0,10.0,50.0,1.0,2.0,50.0,4.0,4.0,100.0,0.0,3.0,3.0,6.0,2.0,0.0,0.0,4.0,15.0,-14.0,2008,102,108,2008-12-10,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1
DAL,35.0,7.0,14.0,50.0,0.0,0.0,0.0,5.0,5.0,100.0,6.0,2.0,8.0,6.0,0.0,0.0,3.0,1.0,19.0,3.0,2008,99,103,2008-12-13,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1
SAS,19.0,1.0,3.0,33.3,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,2.0,4.0,2.0,-8.0,2008,104,109,2008-12-14,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1
LAC,33.0,4.0,11.0,36.4,0.0,0.0,0.0,3.0,4.0,75.0,5.0,2.0,7.0,2.0,2.0,0.0,4.0,1.0,11.0,-7.0,2008,88,98,2008-12-16,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1
TOR,31.0,7.0,12.0,58.3,0.0,1.0,0.0,5.0,7.0,71.4,0.0,4.0,4.0,8.0,1.0,0.0,5.0,0.0,19.0,17.0,2008,91,83,2008-12-19,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1
CLE,40.0,7.0,16.0,43.8,2.0,3.0,66.7,8.0,9.0,88.9,2.0,4.0,6.0,11.0,0.0,0.0,5.0,2.0,24.0,3.0,2008,91,102,2008-12-21,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1
ATL,38.0,5.0,14.0,35.7,0.0,0.0,0.0,1.0,2.0,50.0,2.0,1.0,3.0,6.0,1.0,0.0,3.0,4.0,11.0,-15.0,2008,88,99,2008-12-23,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1
DET,33.0,6.0,13.0,46.2,0.0,0.0,0.0,2.0,4.0,50.0,2.0,3.0,5.0,4.0,0.0,0.0,5.0,1.0,14.0,6.0,2008,88,90,2008-12-26,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1
WAS,31.0,3.0,10.0,30.0,0.0,1.0,0.0,4.0,4.0,100.0,4.0,1.0,5.0,5.0,1.0,1.0,5.0,0.0,10.0,-3.0,2008,95,104,2008-12-27,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1
PHX,37.0,12.0,16.0,75.0,3.0,4.0,75.0,4.0,7.0,57.1,0.0,3.0,3.0,5.0,0.0,0.0,6.0,2.0,31.0,-6.0,2008,102,110,2008-12-29,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1
GSW,31.0,5.0,11.0,45.5,1.0,3.0,33.3,0.0,0.0,0.0,2.0,4.0,6.0,2.0,5.0,0.0,3.0,2.0,11.0,2.0,2008,107,100,2008-12-31,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1
DEN,29.0,5.0,7.0,71.4,0.0,1.0,0.0,4.0,7.0,57.1,2.0,0.0,2.0,5.0,0.0,0.0,1.0,2.0,14.0,-16.0,2009,120,122,2009-01-02,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1
NYK,42.0,6.0,13.0,46.2,1.0,3.0,33.3,9.0,11.0,81.8,1.0,5.0,6.0,9.0,1.0,1.0,4.0,4.0,22.0,11.0,2009,107,99,2009-01-06,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1
MIN,30.0,5.0,10.0,50.0,0.0,1.0,0.0,6.0,8.0,75.0,0.0,1.0,1.0,12.0,0.0,0.0,2.0,1.0,16.0,-25.0,2009,87,129,2009-01-07,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1
HOU,38.0,7.0,13.0,53.8,1.0,2.0,50.0,0.0,1.0,0.0,0.0,6.0,6.0,6.0,2.0,0.0,3.0,2.0,15.0,-11.0,2009,96,98,2009-01-09,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1
