Opponent,Min,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,+/-,Year,Team score,Opponent score,date,Season,Lose,Win,Friday,Monday,Saturday,Sunday,Thursday,Tuesday,Wednesday,HOU,LAC,LAL,OKC,WAS,Playoff,Regular
ATL,38.0,10.0,21.0,47.6,3.0,8.0,37.5,2.0,2.0,100.0,0.0,0.0,0.0,4.0,0.0,1.0,2.0,2.0,25.0,2.0,2012,90,97,2012-03-03,4,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1
DAL,36.0,6.0,20.0,30.0,2.0,6.0,33.3,10.0,12.0,83.3,2.0,4.0,6.0,3.0,0.0,0.0,1.0,0.0,24.0,12.0,2012,95,91,2012-03-05,4,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1
PHX,41.0,11.0,21.0,52.4,3.0,6.0,50.0,6.0,8.0,75.0,1.0,2.0,3.0,10.0,4.0,0.0,3.0,2.0,31.0,7.0,2012,115,104,2012-03-07,4,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1
CLE,33.0,8.0,17.0,47.1,1.0,2.0,50.0,2.0,2.0,100.0,0.0,2.0,2.0,4.0,1.0,0.0,3.0,1.0,19.0,-5.0,2012,90,96,2012-03-09,4,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1
CHA,27.0,10.0,14.0,71.4,1.0,2.0,50.0,2.0,2.0,100.0,0.0,1.0,1.0,4.0,0.0,0.0,1.0,2.0,23.0,7.0,2012,122,95,2012-03-10,4,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1
HOU,38.0,7.0,18.0,38.9,0.0,3.0,0.0,5.0,6.0,83.3,1.0,3.0,4.0,4.0,0.0,0.0,2.0,1.0,19.0,-2.0,2012,103,104,2012-03-13,4,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1
DEN,35.0,7.0,17.0,41.2,2.0,3.0,66.7,7.0,8.0,87.5,1.0,5.0,6.0,5.0,2.0,0.0,7.0,4.0,23.0,2.0,2012,103,90,2012-03-15,4,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1
SAS,45.0,13.0,29.0,44.8,1.0,5.0,20.0,9.0,10.0,90.0,2.0,1.0,3.0,6.0,3.0,0.0,2.0,4.0,36.0,-2.0,2012,105,114,2012-03-16,4,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1
POR,35.0,12.0,21.0,57.1,2.0,3.0,66.7,2.0,6.0,33.3,1.0,2.0,3.0,5.0,0.0,1.0,0.0,0.0,28.0,18.0,2012,111,95,2012-03-18,4,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1
UTA,35.0,8.0,11.0,72.7,3.0,4.0,75.0,4.0,4.0,100.0,1.0,3.0,4.0,3.0,0.0,0.0,3.0,2.0,23.0,-6.0,2012,90,97,2012-03-20,4,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1
LAC,35.0,8.0,20.0,40.0,1.0,4.0,25.0,2.0,2.0,100.0,1.0,2.0,3.0,4.0,0.0,0.0,4.0,2.0,19.0,25.0,2012,114,91,2012-03-21,4,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1
MIN,50.0,17.0,28.0,60.7,2.0,4.0,50.0,9.0,9.0,100.0,2.0,2.0,4.0,6.0,2.0,0.0,4.0,1.0,45.0,-5.0,2012,149,140,2012-03-23,4,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1
MIA,33.0,4.0,16.0,25.0,1.0,3.0,33.3,4.0,4.0,100.0,2.0,1.0,3.0,6.0,3.0,1.0,4.0,3.0,13.0,12.0,2012,103,87,2012-03-25,4,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1
POR,35.0,16.0,26.0,61.5,0.0,3.0,0.0,0.0,3.0,0.0,1.0,2.0,3.0,8.0,3.0,0.0,2.0,2.0,32.0,14.0,2012,109,95,2012-03-27,4,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1
LAL,42.0,13.0,27.0,48.1,1.0,4.0,25.0,9.0,10.0,90.0,1.0,0.0,1.0,5.0,2.0,0.0,1.0,2.0,36.0,5.0,2012,102,93,2012-03-29,4,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1
CHI,30.0,10.0,18.0,55.6,1.0,2.0,50.0,6.0,6.0,100.0,0.0,3.0,3.0,5.0,4.0,0.0,0.0,0.0,27.0,28.0,2012,92,78,2012-04-01,4,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1
MEM,37.0,5.0,16.0,31.3,0.0,3.0,0.0,9.0,10.0,90.0,3.0,1.0,4.0,3.0,3.0,0.0,5.0,2.0,19.0,-2.0,2012,88,94,2012-04-02,4,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1
MIA,40.0,9.0,26.0,34.6,1.0,4.0,25.0,9.0,9.0,100.0,3.0,1.0,4.0,2.0,3.0,0.0,4.0,4.0,28.0,-9.0,2012,93,98,2012-04-04,4,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1
IND,41.0,7.0,23.0,30.4,2.0,5.0,40.0,5.0,8.0,62.5,3.0,8.0,11.0,9.0,1.0,0.0,3.0,3.0,21.0,0.0,2012,98,103,2012-04-06,4,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1
TOR,27.0,5.0,12.0,41.7,0.0,1.0,0.0,5.0,7.0,71.4,1.0,5.0,6.0,6.0,1.0,0.0,4.0,3.0,15.0,0.0,2012,91,75,2012-04-08,4,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1
MIL,26.0,11.0,21.0,52.4,3.0,5.0,60.0,1.0,1.0,100.0,3.0,4.0,7.0,3.0,1.0,0.0,4.0,2.0,26.0,17.0,2012,109,89,2012-04-09,4,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1
LAC,37.0,3.0,14.0,21.4,1.0,5.0,20.0,13.0,15.0,86.7,0.0,4.0,4.0,7.0,0.0,0.0,4.0,2.0,20.0,1.0,2012,98,100,2012-04-11,4,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1
SAC,27.0,10.0,18.0,55.6,0.0,0.0,0.0,2.0,5.0,40.0,0.0,6.0,6.0,5.0,1.0,0.0,2.0,1.0,22.0,20.0,2012,115,89,2012-04-13,4,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1
MIN,38.0,12.0,25.0,48.0,2.0,4.0,50.0,9.0,10.0,90.0,0.0,1.0,1.0,8.0,2.0,0.0,3.0,4.0,35.0,17.0,2012,115,110,2012-04-14,4,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1
LAC,32.0,4.0,16.0,25.0,1.0,5.0,20.0,0.0,0.0,0.0,2.0,1.0,3.0,3.0,1.0,0.0,5.0,2.0,9.0,-10.0,2012,77,92,2012-04-16,4,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1
PHX,31.0,6.0,16.0,37.5,0.0,0.0,0.0,3.0,4.0,75.0,2.0,4.0,6.0,5.0,2.0,0.0,3.0,4.0,15.0,3.0,2012,109,97,2012-04-18,4,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1
SAC,32.0,8.0,15.0,53.3,0.0,1.0,0.0,2.0,4.0,50.0,1.0,2.0,3.0,3.0,2.0,1.0,5.0,2.0,18.0,8.0,2012,103,92,2012-04-20,4,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1
LAL,47.0,3.0,22.0,13.6,0.0,4.0,0.0,8.0,8.0,100.0,1.0,3.0,4.0,10.0,1.0,0.0,3.0,5.0,14.0,-10.0,2012,106,114,2012-04-22,4,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1
SAC,27.0,4.0,13.0,30.8,0.0,2.0,0.0,5.0,6.0,83.3,5.0,3.0,8.0,6.0,2.0,2.0,2.0,2.0,13.0,5.0,2012,118,110,2012-04-24,4,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1
DEN,35.0,10.0,20.0,50.0,1.0,3.0,33.3,9.0,10.0,90.0,1.0,5.0,6.0,9.0,3.0,4.0,2.0,2.0,30.0,0.0,2012,101,106,2012-04-25,4,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1
DAL,38.0,13.0,23.0,56.5,1.0,2.0,50.0,1.0,1.0,100.0,2.0,2.0,4.0,5.0,3.0,0.0,5.0,2.0,28.0,1.0,2012,99,98,2012-04-28,4,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0
DAL,39.0,10.0,21.0,47.6,1.0,2.0,50.0,8.0,8.0,100.0,0.0,2.0,2.0,2.0,0.0,0.0,2.0,2.0,29.0,-3.0,2012,102,99,2012-04-30,4,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0
DAL,32.0,8.0,19.0,42.1,2.0,5.0,40.0,2.0,4.0,50.0,0.0,4.0,4.0,4.0,3.0,0.0,3.0,3.0,20.0,15.0,2012,95,79,2012-05-03,4,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0
DAL,37.0,3.0,12.0,25.0,0.0,4.0,0.0,6.0,8.0,75.0,2.0,3.0,5.0,6.0,3.0,0.0,0.0,2.0,12.0,-5.0,2012,103,97,2012-05-05,4,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0
LAL,27.0,10.0,15.0,66.7,1.0,1.0,100.0,6.0,6.0,100.0,1.0,6.0,7.0,9.0,2.0,0.0,1.0,2.0,27.0,27.0,2012,119,90,2012-05-14,4,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0
LAL,34.0,5.0,17.0,29.4,1.0,3.0,33.3,4.0,6.0,66.7,0.0,6.0,6.0,4.0,1.0,0.0,0.0,1.0,15.0,8.0,2012,77,75,2012-05-16,4,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0
LAL,35.0,7.0,18.0,38.9,0.0,3.0,0.0,7.0,8.0,87.5,3.0,6.0,9.0,1.0,2.0,0.0,1.0,3.0,21.0,0.0,2012,96,99,2012-05-18,4,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0
LAL,43.0,15.0,26.0,57.7,1.0,2.0,50.0,6.0,7.0,85.7,1.0,1.0,2.0,5.0,1.0,0.0,1.0,2.0,37.0,9.0,2012,103,100,2012-05-19,4,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0
LAL,39.0,12.0,25.0,48.0,0.0,1.0,0.0,4.0,6.0,66.7,1.0,2.0,3.0,4.0,2.0,0.0,1.0,2.0,28.0,25.0,2012,106,90,2012-05-21,4,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0
SAS,37.0,7.0,21.0,33.3,2.0,3.0,66.7,1.0,2.0,50.0,1.0,4.0,5.0,5.0,0.0,2.0,4.0,4.0,17.0,0.0,2012,98,101,2012-05-27,4,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0
SAS,41.0,10.0,24.0,41.7,3.0,7.0,42.9,4.0,5.0,80.0,2.0,5.0,7.0,8.0,0.0,0.0,0.0,3.0,27.0,-3.0,2012,111,120,2012-05-29,4,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0
SAS,34.0,5.0,15.0,33.3,0.0,2.0,0.0,0.0,0.0,0.0,3.0,4.0,7.0,9.0,4.0,2.0,2.0,1.0,10.0,29.0,2012,102,82,2012-05-31,4,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0
SAS,34.0,2.0,10.0,20.0,2.0,3.0,66.7,1.0,4.0,25.0,0.0,4.0,4.0,5.0,1.0,0.0,3.0,2.0,7.0,-5.0,2012,109,103,2012-06-02,4,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0
SAS,45.0,9.0,24.0,37.5,0.0,4.0,0.0,5.0,5.0,100.0,0.0,4.0,4.0,12.0,4.0,1.0,6.0,4.0,23.0,5.0,2012,108,103,2012-06-04,4,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0
SAS,41.0,9.0,17.0,52.9,1.0,1.0,100.0,6.0,7.0,85.7,2.0,6.0,8.0,5.0,0.0,1.0,5.0,4.0,25.0,8.0,2012,107,99,2012-06-06,4,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0
MIA,42.0,10.0,24.0,41.7,0.0,4.0,0.0,7.0,9.0,77.8,1.0,7.0,8.0,11.0,1.0,0.0,2.0,1.0,27.0,14.0,2012,105,94,2012-06-12,4,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0
MIA,42.0,10.0,26.0,38.5,2.0,6.0,33.3,5.0,7.0,71.4,2.0,6.0,8.0,7.0,1.0,0.0,2.0,3.0,27.0,-11.0,2012,96,100,2012-06-14,4,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0
MIA,39.0,8.0,18.0,44.4,1.0,4.0,25.0,2.0,2.0,100.0,0.0,5.0,5.0,4.0,0.0,2.0,2.0,2.0,19.0,3.0,2012,85,91,2012-06-17,4,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0
MIA,45.0,20.0,32.0,62.5,0.0,3.0,0.0,3.0,3.0,100.0,1.0,6.0,7.0,5.0,1.0,0.0,3.0,3.0,43.0,0.0,2012,98,104,2012-06-19,4,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0
MIA,43.0,4.0,20.0,20.0,0.0,5.0,0.0,11.0,13.0,84.6,0.0,4.0,4.0,6.0,2.0,0.0,2.0,3.0,19.0,-23.0,2012,106,121,2012-06-21,4,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0
SAS,37.0,6.0,21.0,28.6,0.0,3.0,0.0,6.0,8.0,75.0,3.0,5.0,8.0,5.0,0.0,0.0,6.0,3.0,18.0,2.0,2012,84,86,2012-11-01,5,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1
POR,35.0,13.0,24.0,54.2,0.0,2.0,0.0,6.0,8.0,75.0,1.0,4.0,5.0,6.0,0.0,0.0,1.0,1.0,32.0,7.0,2012,106,92,2012-11-02,5,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1
ATL,36.0,5.0,18.0,27.8,2.0,6.0,33.3,2.0,2.0,100.0,1.0,4.0,5.0,9.0,0.0,0.0,3.0,4.0,14.0,-5.0,2012,95,104,2012-11-04,5,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1
TOR,29.0,5.0,12.0,41.7,2.0,4.0,50.0,7.0,8.0,87.5,0.0,1.0,1.0,8.0,1.0,1.0,1.0,2.0,19.0,21.0,2012,108,88,2012-11-06,5,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1
CHI,36.0,7.0,22.0,31.8,1.0,7.0,14.3,1.0,1.0,100.0,1.0,1.0,2.0,12.0,1.0,0.0,2.0,4.0,16.0,-4.0,2012,97,91,2012-11-08,5,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1
DET,31.0,3.0,10.0,30.0,1.0,2.0,50.0,3.0,4.0,75.0,2.0,2.0,4.0,6.0,1.0,0.0,3.0,2.0,10.0,-4.0,2012,105,94,2012-11-09,5,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1
CLE,40.0,10.0,16.0,62.5,4.0,6.0,66.7,3.0,4.0,75.0,1.0,5.0,6.0,10.0,4.0,0.0,8.0,5.0,27.0,11.0,2012,106,91,2012-11-11,5,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1
DET,44.0,11.0,25.0,44.0,0.0,3.0,0.0,11.0,15.0,73.3,4.0,6.0,10.0,4.0,3.0,0.0,2.0,1.0,33.0,9.0,2012,92,90,2012-11-12,5,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1
MEM,43.0,6.0,19.0,31.6,2.0,6.0,33.3,3.0,5.0,60.0,2.0,4.0,6.0,13.0,2.0,0.0,2.0,3.0,17.0,-7.0,2012,97,107,2012-11-14,5,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1
NOH,28.0,3.0,11.0,27.3,0.0,4.0,0.0,4.0,6.0,66.7,1.0,1.0,2.0,12.0,1.0,0.0,2.0,4.0,10.0,18.0,2012,110,95,2012-11-16,5,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1
GSW,36.0,12.0,22.0,54.5,2.0,2.0,100.0,4.0,5.0,80.0,1.0,1.0,2.0,7.0,5.0,0.0,1.0,0.0,30.0,20.0,2012,119,109,2012-11-18,5,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1
LAC,42.0,8.0,20.0,40.0,3.0,5.0,60.0,4.0,6.0,66.7,1.0,2.0,3.0,9.0,0.0,0.0,3.0,3.0,23.0,8.0,2012,117,111,2012-11-21,5,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1
BOS,38.0,10.0,21.0,47.6,2.0,7.0,28.6,4.0,4.0,100.0,0.0,7.0,7.0,8.0,2.0,1.0,5.0,4.0,26.0,7.0,2012,100,108,2012-11-23,5,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1
PHI,42.0,11.0,23.0,47.8,2.0,5.0,40.0,6.0,6.0,100.0,1.0,4.0,5.0,9.0,2.0,1.0,3.0,2.0,30.0,8.0,2012,116,109,2012-11-24,5,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1
CHA,22.0,4.0,8.0,50.0,0.0,2.0,0.0,4.0,4.0,100.0,0.0,2.0,2.0,11.0,2.0,0.0,2.0,2.0,12.0,41.0,2012,114,69,2012-11-26,5,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1
HOU,36.0,6.0,15.0,40.0,0.0,3.0,0.0,2.0,5.0,40.0,1.0,4.0,5.0,9.0,3.0,1.0,5.0,2.0,14.0,7.0,2012,120,98,2012-11-28,5,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1
UTA,39.0,6.0,18.0,33.3,3.0,5.0,60.0,8.0,10.0,80.0,3.0,10.0,13.0,8.0,7.0,0.0,8.0,3.0,23.0,27.0,2012,106,94,2012-11-30,5,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1
NOH,30.0,8.0,18.0,44.4,2.0,3.0,66.7,0.0,0.0,0.0,2.0,3.0,5.0,10.0,3.0,1.0,5.0,3.0,18.0,16.0,2012,100,79,2012-12-01,5,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1
BKN,34.0,9.0,17.0,52.9,1.0,5.0,20.0,6.0,8.0,75.0,0.0,2.0,2.0,9.0,3.0,0.0,5.0,5.0,25.0,4.0,2012,117,111,2012-12-04,5,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1
LAL,40.0,12.0,26.0,46.2,5.0,8.0,62.5,4.0,6.0,66.7,0.0,1.0,1.0,8.0,1.0,0.0,2.0,3.0,33.0,7.0,2012,114,108,2012-12-07,5,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1
IND,34.0,7.0,17.0,41.2,1.0,3.0,33.3,6.0,7.0,85.7,2.0,5.0,7.0,6.0,2.0,2.0,2.0,0.0,21.0,6.0,2012,104,93,2012-12-09,5,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1
NOH,37.0,4.0,14.0,28.6,1.0,1.0,100.0,5.0,8.0,62.5,3.0,1.0,4.0,9.0,0.0,0.0,2.0,4.0,14.0,-10.0,2012,92,88,2012-12-12,5,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1
SAC,32.0,4.0,13.0,30.8,1.0,4.0,25.0,4.0,4.0,100.0,0.0,2.0,2.0,13.0,3.0,1.0,3.0,1.0,13.0,5.0,2012,113,103,2012-12-14,5,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1
SAS,37.0,6.0,18.0,33.3,1.0,2.0,50.0,9.0,11.0,81.8,1.0,5.0,6.0,9.0,3.0,0.0,1.0,2.0,22.0,15.0,2012,107,93,2012-12-17,5,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1
ATL,39.0,9.0,21.0,42.9,1.0,4.0,25.0,8.0,8.0,100.0,1.0,2.0,3.0,11.0,2.0,1.0,3.0,2.0,27.0,4.0,2012,100,92,2012-12-19,5,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1
MIN,44.0,9.0,28.0,32.1,1.0,6.0,16.7,11.0,13.0,84.6,4.0,7.0,11.0,9.0,3.0,0.0,8.0,3.0,30.0,-6.0,2012,93,99,2012-12-20,5,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1
MIA,43.0,5.0,19.0,26.3,1.0,4.0,25.0,10.0,12.0,83.3,6.0,5.0,11.0,3.0,2.0,0.0,5.0,4.0,21.0,-9.0,2012,97,103,2012-12-25,5,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1
DAL,42.0,7.0,20.0,35.0,0.0,3.0,0.0,2.0,3.0,66.7,1.0,5.0,6.0,10.0,3.0,1.0,2.0,5.0,16.0,7.0,2012,111,105,2012-12-27,5,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1
HOU,30.0,11.0,22.0,50.0,2.0,5.0,40.0,4.0,5.0,80.0,2.0,6.0,8.0,8.0,3.0,0.0,5.0,0.0,28.0,20.0,2012,124,94,2012-12-29,5,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1
PHX,33.0,7.0,16.0,43.8,1.0,2.0,50.0,9.0,11.0,81.8,3.0,4.0,7.0,9.0,1.0,0.0,1.0,2.0,24.0,6.0,2012,114,96,2012-12-31,5,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1
BKN,42.0,11.0,19.0,57.9,1.0,2.0,50.0,3.0,4.0,75.0,0.0,2.0,2.0,10.0,3.0,0.0,6.0,4.0,26.0,-12.0,2013,93,110,2013-01-02,5,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1
PHI,34.0,10.0,17.0,58.8,4.0,4.0,100.0,3.0,4.0,75.0,0.0,3.0,3.0,5.0,1.0,0.0,6.0,0.0,27.0,12.0,2013,109,85,2013-01-04,5,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1
TOR,35.0,8.0,17.0,47.1,1.0,3.0,33.3,6.0,6.0,100.0,0.0,4.0,4.0,7.0,3.0,0.0,5.0,1.0,23.0,15.0,2013,104,92,2013-01-06,5,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1
WAS,40.0,4.0,17.0,23.5,1.0,6.0,16.7,8.0,10.0,80.0,2.0,2.0,4.0,8.0,3.0,0.0,2.0,1.0,17.0,0.0,2013,99,101,2013-01-07,5,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1
MIN,30.0,7.0,14.0,50.0,3.0,4.0,75.0,6.0,7.0,85.7,1.0,7.0,8.0,7.0,1.0,0.0,1.0,1.0,23.0,22.0,2013,106,84,2013-01-09,5,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1
LAL,35.0,10.0,21.0,47.6,1.0,5.0,20.0,6.0,8.0,75.0,2.0,5.0,7.0,10.0,2.0,1.0,3.0,3.0,27.0,28.0,2013,116,101,2013-01-11,5,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1
POR,34.0,5.0,21.0,23.8,1.0,5.0,20.0,7.0,9.0,77.8,2.0,6.0,8.0,9.0,0.0,0.0,3.0,1.0,18.0,10.0,2013,87,83,2013-01-13,5,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1
PHX,36.0,14.0,24.0,58.3,1.0,3.0,33.3,7.0,9.0,77.8,2.0,6.0,8.0,5.0,2.0,0.0,1.0,2.0,36.0,14.0,2013,102,90,2013-01-14,5,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1
DEN,28.0,12.0,20.0,60.0,0.0,1.0,0.0,8.0,9.0,88.9,2.0,0.0,2.0,4.0,1.0,0.0,0.0,0.0,32.0,17.0,2013,117,97,2013-01-16,5,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1
DAL,45.0,12.0,26.0,46.2,0.0,3.0,0.0,7.0,9.0,77.8,4.0,2.0,6.0,6.0,1.0,0.0,4.0,1.0,31.0,6.0,2013,117,114,2013-01-18,5,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1
DEN,48.0,10.0,26.0,38.5,1.0,7.0,14.3,15.0,17.0,88.2,2.0,6.0,8.0,9.0,0.0,0.0,7.0,4.0,36.0,-1.0,2013,118,121,2013-01-20,5,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1
LAC,38.0,9.0,19.0,47.4,3.0,6.0,50.0,5.0,5.0,100.0,0.0,4.0,4.0,6.0,1.0,0.0,5.0,3.0,26.0,0.0,2013,109,97,2013-01-22,5,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1
GSW,36.0,3.0,16.0,18.8,0.0,5.0,0.0,4.0,6.0,66.7,0.0,5.0,5.0,4.0,1.0,0.0,6.0,2.0,10.0,-12.0,2013,99,104,2013-01-23,5,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1
SAC,32.0,7.0,18.0,38.9,1.0,4.0,25.0,3.0,4.0,75.0,0.0,4.0,4.0,14.0,1.0,0.0,4.0,3.0,18.0,15.0,2013,105,95,2013-01-25,5,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1
LAL,39.0,6.0,22.0,27.3,1.0,5.0,20.0,4.0,6.0,66.7,4.0,5.0,9.0,13.0,2.0,0.0,4.0,5.0,17.0,-11.0,2013,96,105,2013-01-27,5,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1
MEM,31.0,9.0,17.0,52.9,1.0,4.0,25.0,2.0,2.0,100.0,1.0,8.0,9.0,6.0,1.0,0.0,5.0,0.0,21.0,21.0,2013,106,89,2013-01-31,5,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1
CLE,35.0,12.0,22.0,54.5,0.0,2.0,0.0,4.0,5.0,80.0,0.0,2.0,2.0,5.0,3.0,0.0,1.0,4.0,28.0,6.0,2013,110,115,2013-02-02,5,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1
DAL,29.0,8.0,16.0,50.0,0.0,1.0,0.0,8.0,9.0,88.9,0.0,3.0,3.0,7.0,3.0,0.0,3.0,2.0,24.0,16.0,2013,112,91,2013-02-04,5,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1
GSW,30.0,8.0,19.0,42.1,0.0,3.0,0.0,6.0,8.0,75.0,0.0,3.0,3.0,5.0,4.0,1.0,2.0,0.0,22.0,4.0,2013,119,98,2013-02-06,5,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1
PHX,25.0,8.0,14.0,57.1,1.0,2.0,50.0,0.0,2.0,0.0,2.0,3.0,5.0,6.0,2.0,1.0,3.0,3.0,17.0,23.0,2013,127,96,2013-02-08,5,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1
PHX,28.0,8.0,15.0,53.3,2.0,3.0,66.7,6.0,8.0,75.0,0.0,1.0,1.0,6.0,4.0,0.0,4.0,0.0,24.0,24.0,2013,97,69,2013-02-10,5,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1
UTA,32.0,8.0,14.0,57.1,2.0,3.0,66.7,4.0,8.0,50.0,2.0,1.0,3.0,5.0,0.0,0.0,7.0,1.0,22.0,-13.0,2013,94,109,2013-02-12,5,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1
MIA,44.0,7.0,19.0,36.8,0.0,1.0,0.0,12.0,13.0,92.3,0.0,5.0,5.0,10.0,1.0,1.0,6.0,5.0,26.0,-8.0,2013,100,110,2013-02-14,5,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1
HOU,42.0,8.0,20.0,40.0,3.0,5.0,60.0,9.0,10.0,90.0,3.0,7.0,10.0,8.0,1.0,0.0,7.0,3.0,28.0,-9.0,2013,119,122,2013-02-20,5,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1
